"Part";"Value";"Device";"Package";"Description";"";
"ANT1";"ANT";"ANT";"SPAD";"";"";
"C1";"100p";"C050-020X036/V";"C050-020X036/V";"CAPACITOR, European symbol";"";
"C2";"10n";"C050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";
"C3";"1n";"C050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";
"C4";"10n";"C050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";
"C5";"1n";"C050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";
"C6";"1u";"CPOLE2,5-3";"E2,5-3";"POLARIZED CAPACITOR, European symbol";"";
"D1";"OA79";"1N414834-7V";"DO34-7V";"";"";
"EAR+";"SPAD";"SPAD";"SPAD";"";"";
"EAR-";"SPAD";"SPAD";"SPAD";"";"";
"GND";"SPAD";"SPAD";"SPAD";"";"";
"R1";"10k";"R0202/7-V";"0202/7-V";"RESISTOR, European symbol";"";
"R2";"10M";"R0202/7";"0202/7";"RESISTOR, European symbol";"";
"R3";"10M";"R0202/7-V";"0202/7-V";"RESISTOR, European symbol";"";
"R5";"10M";"R0202/7-V";"0202/7-V";"RESISTOR, European symbol";"";
"R6";"100k";"R0202/7-V";"0202/7-V";"RESISTOR, European symbol";"";
"R7";"100k";"POT";"POT";"";"";
"T1";"BC547";"BC547CBE";"TO92-CBE";"";"";
"T2";"BC547";"BC547CBE";"TO92-CBE";"";"";
"VCC";"SPAD";"SPAD";"SPAD";"";"";
