"Part";"Value";"Device";"Package";"Description";"";
"+9V";"SPAD";"SPAD";"SPAD";"";"";
"ANT";"ANT";"ANT";"SPAD";"";"";
"C1";"10n";"C050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";
"C2";"22p";"C-TR-PH201272222-808-2PIN";"TRIM-2222-808";"";"";
"C3";"10p";"C050-020X036";"C050-020X036";"CAPACITOR, European symbol";"";
"C4";"10n";"C050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";
"C5";"10n";"C050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";
"C6";"10u";"CPOLE2,5-3";"E2,5-3";"POLARIZED CAPACITOR, European symbol";"";
"GND";"SPAD";"SPAD";"SPAD";"";"";
"L1";"";"L-SHORT02/7V";"L-02/7V";"";"";
"L2";"0.33uH";"L-SHORT02/7V";"L-02/7V";"";"";
"R1";"10k";"R0202/7";"0202/7";"RESISTOR, European symbol";"";
"R3";"10k";"R0202/7-V";"0202/7-V";"RESISTOR, European symbol";"";
"R4";"10k";"R0202/7";"0202/7";"RESISTOR, European symbol";"";
"R5";"1k";"R0202/7-V";"0202/7-V";"RESISTOR, European symbol";"";
"R6";"10k";"R0202/7-V";"0202/7-V";"RESISTOR, European symbol";"";
"SPKR+";"SPAD";"SPAD";"SPAD";"";"";
"SPKR-";"SPAD";"SPAD";"SPAD";"";"";
"T1";"BC547";"BC547CBE";"TO92-CBE";"";"";
"T2";"BC557";"BC557CBE";"TO92-CBE";"";"";
