"Part";"Value";"Device";"Package";"Description";"";
"C1";"4u7";"CPOLE2,5-3";"E2,5-3";"POLARIZED CAPACITOR, European symbol";"";
"C2";"";"CPOLE2.5-5";"E2,5-5";"POLARIZED CAPACITOR, European symbol";"";
"C3";"";"CPOLE2.5-5";"E2,5-5";"POLARIZED CAPACITOR, European symbol";"";
"C4";"4u7";"CPOLE2,5-3";"E2,5-3";"POLARIZED CAPACITOR, European symbol";"";
"GND";"SPAD";"SPAD";"SPAD";"";"";
"L1";"L02/7";"L02/7";"L-02/7V";"";"";
"OUT";"SPAD";"SPAD";"SPAD";"";"";
"R1";"1M";"R0204/10";"0204/10";"RESISTOR, European symbol";"";
"R2";"1M";"R0204/10";"0204/10";"RESISTOR, European symbol";"";
"R3";"470";"R0204/10";"0204/10";"RESISTOR, European symbol";"";
"R4";"470";"POT";"POT";"";"";
"T1";"BC547";"BC547CBE";"TO92-CBE";"";"";
"T2";"BC547";"BC547CBE";"TO92-CBE";"";"";
"T3";"BC547";"BC547CBE";"TO92-CBE";"";"";
"V+";"SPAD";"SPAD";"SPAD";"";"";
