"Part";"Value";"Device";"Package";"Description";"";
"ANT1";"ANT";"ANT";"SPAD";"";"";
"AOUT+";"SPAD";"SPAD";"SPAD";"";"";
"AOUT-";"SPAD";"SPAD";"SPAD";"";"";
"BAT+";"SPAD";"SPAD";"SPAD";"";"";
"BAT-";"SPAD";"SPAD";"SPAD";"";"";
"C1";"6p";"C025-015X024";"C025-015X024";"CAPACITOR, European symbol";"";
"C2";"2p";"C025-015X024";"C025-015X024";"CAPACITOR, European symbol";"";
"C3";"15 - 140p";"C-TR-PH201272222-808-2PINB";"TRIM-2222-808";"";"";
"C4";"470n";"C025-015X024";"C025-015X024";"CAPACITOR, European symbol";"";
"C5";"1n";"C025-020X036";"C025-020X036";"CAPACITOR, European symbol";"";
"C6";"1n";"C025-020X036";"C025-020X036";"CAPACITOR, European symbol";"";
"C7";"470n";"C025-015X024";"C025-015X024";"CAPACITOR, European symbol";"";
"C8";"";"C050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";
"L1";"6turns on d=0.7mm";"L-SHORT04/7";"L-04/7V";"";"";
"L2";"L-SHORT04/7";"L-SHORT04/7";"L-04/7V";"";"";
"R1";"47k";"POT";"POT";"";"";
"R2";"12k";"R0204/7";"0204/7";"RESISTOR, European symbol";"";
"R3";"12k";"R0204/7";"0204/7";"RESISTOR, European symbol";"";
"R4";"22k";"R0204/7";"0204/7";"RESISTOR, European symbol";"";
"R5";"68";"R0204/7";"0204/7";"RESISTOR, European symbol";"";
"SW1";"SL-SW-1P-2T-H";"SL-SW-1P-2T-H";"SLSW-1P2T-H";"";"";
"T1";"2N918";"2SC930-TO92";"TO92";"";"";
