AWG gauge  Conductor
D
          0     11.684 mm
          0   10.40384 mm
          0    9.26592 mm
          0    8.25246 mm
          1    7.34822 mm
          2    6.54304 mm
          3    5.82676 mm
          4    5.18922 mm
          5    4.62026 mm
          6     4.1148 mm
          7    3.66522 mm
          8     3.2639 mm
          9    2.90576 mm
         10    2.58826 mm
         11    2.30378 mm
         12    2.05232 mm
         13     1.8288 mm
         14    1.62814 mm
         15    1.45034 mm
         16    1.29032 mm
         17    1.15062 mm
         18    1.02362 mm
         19    0.91186 mm
         20     0.8128 mm
         21     0.7239 mm
         22    0.64516 mm
         23    0.57404 mm
         24    0.51054 mm
         25    0.45466 mm
         26    0.40386 mm
         27    0.36068 mm
         28    0.32004 mm
         29    0.28702 mm
         30      0.254 mm
         31    0.22606 mm
         32     0.2032 mm
Metric 2.0         0.2 mm
         33    0.18034 mm
Metric 1.8        0.18 mm
         34    0.16002 mm
Metric 1.6     0.16002 mm
         35    0.14224 mm
Metric 1.4        0.14 mm
         36      0.127 mm
Metric 1.25      0.125 mm
         37     0.1143 mm
Metric 1.12      0.112 mm
         38     0.1016 mm
Metric 1           0.1 mm
         39     0.0889 mm
         40    0.07874 mm
 mm
